Date;rateRatio
2017. december 19.;1.004165426956263
2017. december 5.;1.0038669760247487
2017. november 21.;1.0038554905040697
2017. november 7.;0.9956414354206015
2017. október 24.;1.0143613000755858
2017. október 3.;1.0038922155688623
2017. szeptember 19.;1.0
2017. szeptember 5.;1.0006069802731412
2017. augusztus 22.;1.0068027210884354
2017. augusztus 1.;1.0091743119266054
2017. július 18.;0.9955555555555555
2017. július 4.;0.9856115107913669
2017. június 20.;0.9947148817802504
2017. június 6.;0.9937721160651097
2017. május 23.;0.9834223096375386
2017. május 9.;0.9949640287769784
2017. április 25.;0.9831932773109243
2017. április 11.;1.0245901639344261
2017. március 28.;1.0040909090909091
2017. március 14.;1.0038197097020627
2017. február 28.;1.02820830750155
2017. február 7.;1.0038406144983196
2017. január 24.;1.0033498165576646
2017. január 10.;1.0004652605459057
2018. december 18.;1.003584229390681
2018. december 4.;0.9965277777777778
2018. november 20.;1.0075901328273245
2018. november 6.;1.0091743119266054
2018. október 16.;1.0
2018. október 2.;1.0169332079021638
2018. szeptember 18.;1.0098039215686274
2018. szeptember 4.;0.9878504672897196
2018. augusztus 21.;0.9571948998178507
2018. augusztus 7.;1.0097751710654936
2018. július 24.;1.0062370062370063
2018. július 3.;1.0068493150684932
2018. június 19.;1.0019212295869357
2018. június 5.;1.0082342177493138
2018. május 22.;0.9692028985507246
2018. május 8.;0.9981343283582089
2018. április 24.;1.0038350910834133
2018. április 10.;0.9823420074349443
2018. március 27.;0.9831932773109243
2018. március 13.;0.9849690539345711
2018. február 27.;0.9793103448275862
2018. február 13.;1.0036363636363637
2018. január 30.;0.9961240310077519
2018. január 9.;1.008955223880597
2019. december 17.;1.029126213592233
2019. december 3.;1.0190641247833623
2019. november 19.;1.0076923076923077
2019. november 5.;1.0017825311942958
2019. október 22.;1.0153256704980842
2019. október 8.;0.9958106409719313
2019. szeptember 24.;0.997029702970297
2019. szeptember 10.;1.0
2019. augusztus 27.;0.9887265135699373
2019. augusztus 6.;0.9946268656716418
2019. július 23.;0.9960199004975124
2019. július 9.;1.0019607843137255
2019. június 25.;1.0068027210884354
2019. június 11.;0.9921568627450981
2019. május 28.;1.0019120458891013
2019. május 14.;1.0
2019. április 30.;0.9991251093613298
2019. április 9.;0.9954873646209387
2019. március 26.;0.9990557129367328
2019. március 12.;1.0075471698113208
2019. február 26.;0.9792418772563177
2019. február 12.;0.9752212389380531
2019. január 29.;0.9939862542955327
2019. január 15.;1.0025817555938037
2020. december 15.;0.9873333333333333
2020. december 1.;1.0090529247910864
2020. november 17.;1.026865671641791
2020. november 3.;1.04344453064391
2020. október 20.;1.0059084194977843
2020. október 6.;0.992372234935164
2020. szeptember 22.;1.0461538461538462
2020. szeptember 8.;0.9816326530612245
2020. augusztus 25.;1.020775623268698
2020. augusztus 4.;1.0295420974889218
2020. július 21.;1.0
2020. július 7.;1.0060105184072126
2020. június 23.;0.9897360703812317
2020. június 9.;1.0
2020. május 26.;1.005792903692976
2020. május 12.;0.9885958660014256
2020. április 28.;0.9956616052060737
2020. április 7.;1.007081038552321
2020. március 24.;1.012079378774806
2020. március 10.;1.0054095826893354
2020. február 25.;1.018031555221638
2020. február 11.;1.024745269286754
2020. január 28.;0.9946401225114855
2020. január 14.;0.9992360580595875
2021. december 14.;1.011255924170616
2021. november 30.;1.0099415204678364
2021. november 16.;0.9899049881235155
2021. november 2.;0.9883333333333333
2021. október 19.;1.015222482435597
2021. október 5.;0.9916765755053508
2021. szeptember 21.;0.9941792782305006
2021. szeptember 7.;0.9840546697038725
2021. augusztus 24.;0.9910913140311804
2021. augusztus 10.;0.9960045662100456
2021. július 27.;1.0031387319522913
2021. július 6.;1.0055658627087198
2021. június 22.;0.9981718464351006
2021. június 8.;0.9937225360954175
2021. május 25.;1.015605493133583
2021. május 11.;1.0071942446043165
2021. április 27.;0.9937464468447982
2021. április 6.;0.9955580233203776
2021. március 23.;0.9915540540540541
2021. március 9.;0.9939795304033715
2021. február 23.;0.9908045977011494
2021. február 9.;1.0046511627906978
2021. január 26.;0.9891304347826086
2021. január 12.;1.058108108108108
2022. december 20.;1.0
2022. december 6.;0.9936562860438293
2022. november 22.;0.9962429555416406
2022. november 8.;0.9994082840236687
2022. október 25.;0.9853300733496333
2022. október 14.;1.0
2022. szeptember 27.;0.9723160027008778
2022. szeptember 13.;0.9968354430379747
2022. augusztus 30.;0.9877225291589933
2022. augusztus 9.;1.0036585365853659
2022. július 26.;1.022356495468278
2022. július 12.;1.0447125621007807
2022. június 28.;0.9950634696755994
2022. június 14.;1.0067567567567568
2022. május 31.;1.0089841050449204
2022. május 10.;0.994121969140338
2022. április 26.;1.0199081163859112
2022. április 5.;0.9871611982881597
2022. március 22.;1.0140646976090013
2022. március 8.;1.017467248908297
2022. február 22.;0.9904458598726115
2022. február 8.;0.9788774894387448
2022. január 25.;1.0122324159021407
2022. január 11.;0.9966329966329966
2023. július 25.;1.006822057987493
2023. június 20.;1.0066145520144318
2023. május 23.;1.0036585365853659
2023. április 25.;1.003683241252302
2023. március 28.;0.9973262032085561
2023. február 28.;1.0106595602931379
2023. január 24.;0.9857482185273159
