Date;rateRatio
2017. december 19.;0.9800664451827242
2017. december 5.;1.004360952700436
2017. november 21.;1.0034385745545482
2017. november 7.;1.0176656151419559
2017. október 24.;0.9987496092528916
2017. október 3.;1.0033333333333334
2017. szeptember 19.;0.9918400652794778
2017. szeptember 5.;0.007572491351272968
2017. augusztus 22.;1.005183585313175
2017. augusztus 1.;0.008822520883537962
2017. július 18.;1.0133856450496193
2017. július 4.;0.9773851590106007
2017. június 20.;1.023715415019763
2017. június 6.;1.0026893769610041
2017. május 23.;1.00089565606807
2017. május 9.;0.008996010855704149
2017. április 25.;1.0070588235294118
2017. április 11.;1.0079537237888647
2017. március 28.;0.9899657366617719
2017. március 14.;1.002670551104637
2017. február 28.;0.9988018212317278
2017. február 7.;91.30943858788919
2017. január 24.;100.52796163069544
2017. január 10.;1.0007147962830594
2018. december 18.;0.9790209790209791
2018. december 4.;1.0082174462705435
2018. november 20.;0.9954983922829582
2018. november 6.;1.0113107119095144
2018. október 16.;1.0013486176668915
2018. október 2.;0.99
2018. szeptember 18.;0.9847750865051903
2018. szeptember 4.;0.997212543554007
2018. augusztus 21.;0.9785714285714285
2018. augusztus 7.;1.025695931477516
2018. július 24.;0.9970457902511078
2018. július 3.;0.9933872152828802
2018. június 19.;0.9844097995545658
2018. június 5.;1.0476550680786687
2018. május 22.;0.9804063860667634
2018. május 8.;0.9881533101045297
2018. április 24.;0.9939759036144579
2018. április 10.;1.0277970813064627
2018. március 27.;1.000709219858156
2018. március 13.;1.0120886501007387
2018. február 27.;1.0108303249097472
2018. február 13.;1.0160951714485655
2018. január 30.;0.9878903760356915
2018. január 9.;1.0032467532467533
2019. december 17.;0.9917412250516173
2019. december 3.;0.972733469665985
2019. november 19.;1.01403743315508
2019. november 5.;1.0315934065934067
2019. október 22.;1.0049191848208012
2019. október 8.;1.0035385704175512
2019. szeptember 24.;0.9906852960745176
2019. szeptember 10.;1.0136798905608755
2019. augusztus 27.;1.0140548137737175
2019. augusztus 6.;0.98989898989899
2019. július 23.;1.0051847051198963
2019. július 9.;0.9954248366013072
2019. június 25.;0.9993560849967804
2019. június 11.;1.0061236987140232
2019. május 28.;0.9906542056074766
2019. május 14.;1.0044958253050738
2019. április 30.;0.9899408284023669
2019. április 9.;1.0086687306501547
2019. március 26.;0.9909638554216867
2019. március 12.;1.0067526089625538
2019. február 26.;1.0024375380865327
2019. február 12.;0.9987341772151899
2019. január 29.;1.011036174126303
2019. január 15.;0.9919454770755886
2020. december 15.;1.030841121495327
2020. december 1.;0.9664107485604606
2020. november 17.;1.0116094986807387
2020. november 3.;0.9954158480681073
2020. október 20.;1.0054054054054054
2020. október 6.;1.0054021608643458
2020. szeptember 22.;0.9809815950920245
2020. szeptember 8.;1.0070963926670609
2020. augusztus 25.;0.9947643979057592
2020. augusztus 4.;1.0029120559114735
2020. július 21.;0.9859154929577465
2020. július 7.;1.0005382131324003
2020. június 23.;0.9885057471264368
2020. június 9.;1.02
2020. május 26.;1.0
2020. május 12.;1.0029382957884427
2020. április 28.;0.9970149253731343
2020. április 7.;1.0440318302387268
2020. március 24.;1.015743756786102
2020. március 10.;0.8818342151675485
2020. február 25.;0.9458456973293768
2020. február 11.;0.9962178517397882
2020. január 28.;0.9822878228782288
2020. január 14.;1.0006939625260236
2021. december 14.;0.9901880621422731
2021. november 30.;0.9959183673469387
2021. november 16.;1.019448946515397
2021. november 2.;1.0022607385079125
2021. október 19.;0.9934258582907232
2021. október 5.;1.0046260601387818
2021. szeptember 21.;0.9761904761904762
2021. szeptember 7.;0.9958677685950413
2021. augusztus 24.;1.0186282811176968
2021. augusztus 10.;0.9881329113924051
2021. július 27.;0.9907172995780591
2021. július 6.;0.9991596638655462
2021. június 22.;1.0086206896551724
2021. június 8.;0.987603305785124
2021. május 25.;0.994750656167979
2021. május 11.;1.0209281164695176
2021. április 27.;1.017786561264822
2021. április 6.;0.9525939177101967
2021. március 23.;0.9935185185185185
2021. március 9.;1.029864253393665
2021. február 23.;0.977538185085355
2021. február 9.;1.0079646017699115
2021. január 26.;0.9928507596067918
2021. január 12.;0.9991823385118561
2022. december 20.;1.010703363914373
2022. december 6.;0.9704641350210971
2022. november 22.;1.0067164179104477
2022. november 8.;1.0212604403948367
2022. október 25.;1.0016353229762878
2022. október 14.;0.985233798195242
2022. szeptember 27.;1.0074688796680498
2022. szeptember 13.;1.0
2022. augusztus 30.;0.9829059829059829
2022. augusztus 9.;1.0124137931034483
2022. július 26.;0.9699453551912568
2022. július 12.;0.9855868222374743
2022. június 28.;0.9952153110047847
2022. június 14.;0.9849737039819685
2022. május 31.;0.9828125
2022. május 10.;0.9829234972677595
2022. április 26.;0.9836601307189542
2022. április 5.;1.0110041265474552
2022. március 22.;1.02890625
2022. március 8.;1.036624203821656
2022. február 22.;0.9785768936495792
2022. február 8.;0.9940253920836445
2022. január 25.;0.9761549925484352
2022. január 11.;1.0138461538461538
2023. július 25.;0.9777777777777777
2023. június 20.;0.9986486486486487
2023. május 23.;1.0071890726096333
2023. április 25.;0.9778434268833087
2023. március 28.;1.0072756669361358
2023. február 28.;1.0035997120230382
2023. január 24.;0.9947955390334573
