Date;rateRatio
2017. december 19.;1.0184848484848485
2017. december 5.;1.01015625
2017. november 21.;1.001859799713877
2017. november 7.;1.005992399883075
2017. október 24.;1.0106951871657754
2017. október 3.;1.0017996400719855
2017. szeptember 19.;0.9860294117647059
2017. szeptember 5.;1.0038080731150039
2017. augusztus 22.;1.0022727272727272
2017. augusztus 1.;0.9946768060836502
2017. július 18.;0.9854014598540146
2017. július 4.;0.9984197672748168
2017. június 20.;1.0
2017. június 6.;0.9894957983193278
2017. május 23.;1.0082152974504248
2017. május 9.;1.0116448326055314
2017. április 25.;1.024390243902439
2017. április 11.;0.9891891891891892
2017. március 28.;1.0146041506533436
2017. március 14.;1.0030651340996168
2017. február 28.;0.9972179289026275
2017. február 7.;1.01428339555267
2017. január 24.;0.9903633491311217
2017. január 10.;1.0021759403170656
2018. december 18.;1.0210430009149132
2018. december 4.;1.0194690265486726
2018. november 20.;0.9896713615023475
2018. november 6.;0.9882139619220308
2018. október 16.;1.0247148288973384
2018. október 2.;1.0152817574021011
2018. szeptember 18.;1.00990099009901
2018. szeptember 4.;0.9807516040329972
2018. augusztus 21.;1.018552875695733
2018. augusztus 7.;0.976145038167939
2018. július 24.;1.0033375052148519
2018. július 3.;1.0049164208456245
2018. június 19.;0.9857954545454546
2018. június 5.;1.012037037037037
2018. május 22.;0.9865951742627346
2018. május 8.;0.9925925925925926
2018. április 24.;0.9933333333333333
2018. április 10.;0.990791896869245
2018. március 27.;1.0298076923076922
2018. március 13.;0.9982347749338041
2018. február 27.;0.9539473684210527
2018. február 13.;0.9821428571428571
2018. január 30.;0.9930715935334873
2018. január 9.;0.9925925925925926
2019. december 17.;0.9856459330143541
2019. december 3.;0.9922613929492692
2019. november 19.;0.9974424552429667
2019. november 5.;1.0274725274725274
2019. október 22.;1.0165530671859786
2019. október 8.;0.9904564315352697
2019. szeptember 24.;1.011213456147377
2019. szeptember 10.;0.979757085020243
2019. augusztus 27.;0.9954280964256027
2019. augusztus 6.;0.9776264591439688
2019. július 23.;1.0029940119760479
2019. július 9.;0.9922178988326849
2019. június 25.;0.9875239923224568
2019. június 11.;1.0
2019. május 28.;1.0397614314115309
2019. május 14.;0.9818007662835249
2019. április 30.;1.0178094390026715
2019. április 9.;1.0137236962488563
2019. március 26.;1.0202312138728324
2019. március 12.;0.9981167608286252
2019. február 26.;0.9822695035460993
2019. február 12.;1.0189359783588818
2019. január 29.;0.9948717948717949
2019. január 15.;1.0069324090121317
2020. december 15.;0.9940357852882704
2020. december 1.;1.007719298245614
2020. november 17.;1.0
2020. november 3.;0.9961360123647605
2020. október 20.;1.0051967334818115
2020. október 6.;1.0030604437643458
2020. szeptember 22.;1.0038610038610039
2020. szeptember 8.;1.0068493150684932
2020. augusztus 25.;0.9924398625429554
2020. augusztus 4.;0.9904901243599122
2020. július 21.;1.0
2020. július 7.;0.9758064516129032
2020. június 23.;1.0014684287812041
2020. június 9.;0.9992877492877493
2020. május 26.;1.0124633431085044
2020. május 12.;1.0100791936645068
2020. április 28.;1.0398496240601505
2020. április 7.;0.9968627450980392
2020. március 24.;1.0691881918819188
2020. március 10.;1.0046583850931676
2020. február 25.;0.9603174603174603
2020. február 11.;0.9978213507625272
2020. január 28.;0.9954268292682927
2020. január 14.;0.9856927710843374
2021. december 14.;0.9917743830787309
2021. november 30.;0.9941860465116279
2021. november 16.;0.9970396684428656
2021. november 2.;1.0321100917431192
2021. október 19.;1.0017595307917888
2021. október 5.;0.9982195845697329
2021. szeptember 21.;1.0040911747516073
2021. szeptember 7.;0.9892957746478873
2021. augusztus 24.;0.9873556899395272
2021. augusztus 10.;1.0011428571428571
2021. július 27.;1.0012570710245128
2021. július 6.;1.0227703984819734
2021. június 22.;0.9885542168674699
2021. június 8.;0.9894409937888199
2021. május 25.;0.9662243667068757
2021. május 11.;0.9737302977232924
2021. április 27.;1.0045688178183896
2021. április 6.;0.9922865013774105
2021. március 23.;1.0096645821489483
2021. március 9.;1.0072771376591874
2021. február 23.;0.9977064220183486
2021. február 9.;1.0123602118893467
2021. január 26.;1.0042449969678593
2021. január 12.;0.9986504723346828
2022. december 20.;1.0055248618784531
2022. december 6.;1.02
2022. november 22.;1.0012539184952978
2022. november 8.;1.0125823846614739
2022. október 25.;1.0367553865652726
2022. október 14.;1.0018832391713748
2022. szeptember 27.;0.9986513823331086
2022. szeptember 13.;1.0154241645244215
2022. augusztus 30.;1.0006142506142506
2022. augusztus 9.;0.9879518072289156
2022. július 26.;1.0122324159021407
2022. július 12.;0.9853146853146854
2022. június 28.;1.0186781609195403
2022. június 14.;1.0037678975131876
2022. május 31.;1.0048611111111112
2022. május 10.;1.0
2022. április 26.;0.976083707025411
2022. április 5.;0.9736111111111111
2022. március 22.;0.9875
2022. március 8.;1.0223214285714286
2022. február 22.;1.0274869109947644
2022. február 8.;1.0382205513784462
2022. január 25.;0.9831629585087192
2022. január 11.;1.0148063781321184
2023. július 25.;0.9865395401009535
2023. június 20.;0.9958083832335329
2023. május 23.;1.0061349693251533
2023. április 25.;1.0092936802973977
2023. március 28.;1.0060524546065905
2023. február 28.;0.9823298429319371
2023. január 24.;1.0065750149432158
2017. december 19.;{'Dátum': '2017. december 20.', 'Price': '1.004165426956263'}
2017. december 5.;{'Dátum': '2017. december 6.', 'Price': '1.0038669760247487'}
2017. november 21.;{'Dátum': '2017. november 22.', 'Price': '1.0038554905040697'}
2017. november 7.;{'Dátum': '2017. november 8.', 'Price': '0.9956414354206015'}
