Date;rateRatio
2017. december 19.;0.996923978321371
2017. december 5.;0.9998459167950693
2017. november 21.;0.9856125356125356
2017. november 7.;1.0
2017. október 24.;0.9821561338289962
2017. október 3.;1.0050814526976535
2017. szeptember 19.;1.005627128683548
2017. szeptember 5.;1.0119678836539918
2017. augusztus 22.;0.9968661393821817
2017. augusztus 1.;0.9894578313253012
2017. július 18.;1.0163934426229508
2017. július 4.;0.9929865575686733
2017. június 20.;0.9908515130190007
2017. június 6.;1.0035612535612535
2017. május 23.;1.0109906001446132
2017. május 9.;0.9949640287769784
2017. április 25.;0.9975641209342313
2017. április 11.;1.0021881838074398
2017. március 28.;0.9894578313253012
2017. március 14.;0.992517941670484
2017. február 28.;1.0007694675284704
2017. február 7.;1.0156739811912225
2017. január 24.;0.9920823436262867
2017. január 10.;0.979853193815399
2018. december 18.;0.9973045822102425
2018. december 4.;1.0081227436823104
2018. november 20.;0.9971777986829727
2018. november 6.;0.9935602575896965
2018. október 16.;0.9907407407407407
2018. október 2.;0.9821092278719398
2018. szeptember 18.;0.9901960784313726
2018. szeptember 4.;1.0028598665395614
2018. augusztus 21.;0.9990601503759399
2018. augusztus 7.;0.9894128970163619
2018. július 24.;1.002464065708419
2018. július 3.;0.9814814814814815
2018. június 19.;0.9901283316880553
2018. június 5.;0.9927927927927928
2018. május 22.;1.0047169811320755
2018. május 8.;1.0065116279069768
2018. április 24.;1.000952380952381
2018. április 10.;1.0093984962406015
2018. március 27.;1.0179076343072573
2018. március 13.;1.0119375573921028
2018. február 27.;0.976929902395741
2018. február 13.;1.0303292894280762
2018. január 30.;0.9976635514018691
2018. január 9.;1.0066864784546805
2019. december 17.;0.9899146625290923
2019. december 3.;0.9889737065309584
2019. november 19.;1.0033726812816188
2019. november 5.;1.0026905829596413
2019. október 22.;0.9980916030534351
2019. október 8.;1.0168776371308017
2019. szeptember 24.;0.9920634920634921
2019. szeptember 10.;1.0012448132780083
2019. augusztus 27.;1.0221724979658258
2019. augusztus 6.;0.9867096254530809
2019. július 23.;0.9970873786407767
2019. július 9.;0.9921645445641528
2019. június 25.;0.9971428571428571
2019. június 11.;0.9931372549019608
2019. május 28.;1.0
2019. május 14.;0.9930898321816387
2019. április 30.;1.0017590149516271
2019. április 9.;0.9928571428571429
2019. március 26.;1.007462686567164
2019. március 12.;1.0056179775280898
2019. február 26.;0.9804651162790697
2019. február 12.;1.0120593692022264
2019. január 29.;0.9982993197278912
2019. január 15.;1.0255536626916524
2020. december 15.;0.9792503346720214
2020. december 1.;1.0361362056984016
2020. november 17.;1.0079479768786128
2020. november 3.;1.0136887608069165
2020. október 20.;0.9845246868091379
2020. október 6.;1.014426727410782
2020. szeptember 22.;0.9816983894582724
2020. szeptember 8.;0.9806034482758621
2020. augusztus 25.;0.9782608695652174
2020. augusztus 4.;1.0134656272147413
2020. július 21.;0.993841416474211
2020. július 7.;1.00374531835206
2020. június 23.;0.9640762463343109
2020. június 9.;1.0
2020. május 26.;1.0066518847006651
2020. május 12.;0.9913482335976929
2020. április 28.;0.9811320754716981
2020. április 7.;0.9969673995451099
2020. március 24.;0.9982788296041308
2020. március 10.;1.0067681895093064
2020. február 25.;0.9366993217784476
2020. február 11.;1.0087463556851313
2020. január 28.;0.9984732824427481
2020. január 14.;1.025462962962963
2021. december 14.;0.9936416184971099
2021. november 30.;0.9861191440138809
2021. november 16.;1.0132530120481928
2021. november 2.;0.9909604519774011
2021. október 19.;1.0028506271379705
2021. október 5.;1.0082159624413145
2021. szeptember 21.;0.9947795823665894
2021. szeptember 7.;0.9834001144819691
2021. augusztus 24.;0.9857712009106432
2021. augusztus 10.;1.0051516886090441
2021. július 27.;1.0196560196560196
2021. július 6.;1.0153468385512585
2021. június 22.;0.9777777777777777
2021. június 8.;1.0203452527743526
2021. május 25.;1.0056746532156369
2021. május 11.;1.0071556350626119
2021. április 27.;0.9822349570200573
2021. április 6.;0.9932810750279956
2021. március 23.;1.0017103762827821
2021. március 9.;1.0180505415162455
2021. február 23.;0.9771949828962372
2021. február 9.;0.9889148191365228
2021. január 26.;1.0140073081607794
2021. január 12.;0.9850839030453697
2022. december 20.;0.975609756097561
2022. december 6.;1.0214741729541497
2022. november 22.;1.028447742733457
2022. november 8.;0.9952095808383233
2022. október 25.;0.9915151515151515
2022. október 14.;0.9518518518518518
2022. szeptember 27.;1.03859649122807
2022. szeptember 13.;0.9736842105263158
2022. augusztus 30.;1.0188323917137476
2022. augusztus 9.;1.004339739615623
2022. július 26.;0.9636038186157518
2022. július 12.;1.0
2022. június 28.;1.0161054172767203
2022. június 14.;1.0194319880418534
2022. május 31.;1.009478672985782
2022. május 10.;1.0157421289355322
2022. április 26.;1.02803738317757
2022. április 5.;1.023512123438648
2022. március 22.;1.021572720946416
2022. március 8.;1.0056338028169014
2022. február 22.;0.976551724137931
2022. február 8.;0.9981412639405205
2022. január 25.;0.9939795304033715
2022. január 11.;0.9896966227819118
2023. július 25.;0.9915158371040724
2023. június 20.;1.0077473182359953
2023. május 23.;1.0218978102189782
2023. április 25.;0.9939172749391727
2023. március 28.;1.0124395300621976
2023. február 28.;1.0236220472440944
2023. január 24.;0.9939686369119421
